SEEDED,SEASON,A,B,C,D,E
S,AUTUMN,1.69,3.73,1.65,1.8,3.33
U,AUTUMN,0.74,0.78,1.09,0.79,1.59
S,WINTER,0.81,0.86,2.39,0.36,2.06
U,WINTER,1.44,2.01,2.96,1.27,4.05
S,WINTER,2.48,4.61,4.16,2.16,6
U,WINTER,0.84,2.39,2.76,0.87,4.17
U,WINTER,0.37,1.37,1.08,0.85,3.45
S,WINTER,0.37,0.84,0.26,0.47,0.9
U,SPRING,1.33,2.31,2.53,1.08,3.65
S,SPRING,3.38,5.56,2.76,3.1,5.06
S,SPRING,0.69,1.46,1.07,0.64,1.95
U,SPRING,1.42,2.79,1.42,1.08,1.22
S,SPRING,0.44,1.05,0.24,0.44,0.94
U,SPRING,0.76,1.24,0.7,0.67,0.94
S,SUMMER,1.13,2.28,0.97,1.66,2.21
U,SUMMER,0.88,1.58,1.06,1.13,1.46
S,SUMMER,0.17,0.55,0.13,0.27,0.35
U,SUMMER,0.25,0.77,0.1,0.3,0.34
U,SUMMER,0.78,1.45,0.38,0.58,0.67
S,SUMMER,0.4,0.34,0.45,0.43,0.44
S,AUTUMN,0.52,0.79,0.42,0.47,0.53
U,AUTUMN,2.73,2.09,2.24,4.02,2.52
U,AUTUMN,0.9,2.45,0.52,1.32,2.18
S,AUTUMN,1.62,2.54,0.94,1.59,1.73
U,AUTUMN,0.93,2.11,1.19,0.85,2.31
S,AUTUMN,0.63,1.31,0.76,0.71,1.28
S,WINTER,0.42,1.23,0.13,0.59,0.91
U,WINTER,0.64,0.43,1.5,0.24,1.15
U,WINTER,0.3,0.69,1.03,0.22,1.88
S,WINTER,0.88,1.32,1.87,0.58,2.97
,WINTER,0.76,1.25,1.85,1.36,2.17
S,WINTER,1.25,1,2.04,0.71,2.22
U,WINTER,1.08,0.99,1.44,1,1.64
S,WINTER,1.11,0.8,1.46,1.48,0.4
S,SPRING,3.43,2.55,5.08,1.77,4.2
U,SPRING,0.54,0.43,0.66,0.73,0.91
S,SPRING,0.39,0.44,0.49,0.55,0.51
U,SPRING,2.53,3.18,3.27,2.68,3.6
U,SPRING,0.81,0.89,1.33,0.43,2.18
S,SPRING,0.39,1.22,0.25,0.46,0.89
S,SUMMER,0.86,1.24,0.69,0.49,0.69
U,SUMMER,2.16,2.29,2.12,0.95,1.82
U,SPRING,1.7,2.18,1.45,1.47,2.2
S,SPRING,1.22,2,2.13,1.13,2.33
S,SPRING,0.07,0.22,0.02,0.08,0.24
U,SPRING,0.49,1.07,0.36,0.87,0.57
U,SPRING,0.71,1.73,0.72,0.99,0.98
S,SPRING,1.67,3.46,1.02,1.89,2.47
U,SUMMER,0.73,1.51,0.18,1.42,0.71
S,SUMMER,1.79,3.13,1.83,1.82,3.11
U,SUMMER,0.19,1.05,0.08,0.4,0.57
S,SUMMER,0,0.15,0,0.04,0.04
S,SUMMER,0.44,0.89,0.83,0.38,0.7
U,SUMMER,0.31,1.15,0.01,0.44,0.66
S,SUMMER,0.96,0.88,2.65,0.85,1.48
U,SUMMER,1.04,1.2,1.27,1.39,1.2
S,AUTUMN,0.05,0.06,0.01,200.3,0.1
U,AUTUMN,0.04,0.2,0.35,0.75,0.2
S,AUTUMN,1.83,2.93,1.8,1.62,3.02
U,AUTUMN,2.24,2.17,4.44,1.05,3.59
S,AUTUMN,2.5,3.99,2.84,2.44,4.48
U,AUTUMN,1.1,1.71,2.05,1.3,4.04
S,AUTUMN,1.83,3.87,3.01,1.66,4.56
U,AUTUMN,1.41,-0.034,2.58,1.21,3.95
U,WINTER,0.74,1.36,2.22,0.61,2.68
S,WINTER,1.09,3.56,0.07,2.26,2.08
S,WINTER,0.79,1.43,1.62,1.16,2.87
U,WINTER,4.06,6.71,4.34,3.29,6.4
U,WINTER,0.4,0.64,1.03,0.58,1.77
S,WINTER,0.76,1.83,1.5,0.41,2.56
S,SPRING,1.53,3.62,1.52,1.62,2.86
U,SPRING,0.56,2.88,0.37,1.25,1.74
U,SPRING,1.74,3.45,2.14,1,4.39
S,SPRING,1.59,3.19,2.36,1.53,3.03
U,SPRING,1.91,4.74,1.71,2.03,3.24
S,SPRING,2.09,5.23,2.12,2.77,4.44
U,SUMMER,1.59,3.92,1.38,2.11,3.01
S,SUMMER,0.66,2.22,0.21,1.41,0.8
U,SUMMER,0.68,0.42,0.48,0.59,0.68
S,SUMMER,0.46,1.08,0.01,0.65,0.48
S,SUMMER,0.22,0.62,0.15,0.13,0.42
U,SUMMER,1.11,1.7,1.32,0.57,1.54
S,SUMMER,1.76,1.19,2.26,1.04,1.27
U,SUMMER,5.12,5.25,5.95,3.97,5.37
U,AUTUMN,0.12,0.6,0.19,0.28,0.7
S,AUTUMN,0.37,,0.31,0.23,0.83
S,AUTUMN,4.97,3.03,1.44,3.14,0.86
U,AUTUMN,0.57,1.53,0.3,0.72,1.38
S,AUTUMN,0.13,0.54,0.11,0.14,0.58
U,AUTUMN,2.47,4.7,3.66,1.84,5.36
U,AUTUMN,1.01,2.32,1.14,0.81,2.09
S,AUTUMN,0.55,1.13,1.3,,2.45
S,WINTER,0.24,0.61,0.05,0.38,0.9
U,WINTER,2.36,1.15,1.84,1.73,2.33
S,WINTER,2.35,4.29,4.24,1.67,5.48
U,WINTER,2.23,4.3,1.99,1.9,3.67
U,WINTER,1.16,3.06,2.44,1.52,4.01
S,WINTER,1.63,3.31,2.21,2.36,3.25
S,WINTER,1.08,3.17,0.8,2.25,2.79
U,WINTER,6,6.15,9.42,3.6,7.84
S,SPRING,2.67,6.93,,3.03,6.39
U,SPRING,0.36,0.15,0,0.19,0.06
S,SPRING,0.58,1.41,0.96,0.64,1.24
U,SPRING,1.36,3.43,1.38,1.86,2.91
S,SPRING,1.17,1.65,1.22,2.28,1.58
U,SPRING,2.37,1.94,2.46,2.47,2.39
S,,0.02,0.08,0.05,0.02,0.09
U,SPRING,0.92,2.09,0.61,0.87,1.35
S,SPRING,3.43,2.55,5.08,1.77,4.2
