Country Code,Country Name,Year,Age Group,Sex,Number of Deaths,"Death Rate Per 100,000"
AFG,Afghanistan,1970,0-6 days,Male,"19,241","318,292.90"
AFG,Afghanistan,1970,0-6 days,Female,"12,600","219,544.20"
AFG,Afghanistan,1970,0-6 days,Both,"31,840","270,200.70"
AFG,Afghanistan,1970,7-27 days,Male,"15,939","92,701.00"
AFG,Afghanistan,1970,7-27 days,Female,"11,287","68,594.50"
AFG,Afghanistan,1970,7-27 days,Both,"27,226","80,912.50"
AFG,Afghanistan,1970,28-364 days,Male,"37,513","15,040.10"
AFG,Afghanistan,1970,28-364 days,Female,"32,113","13,411.80"
AFG,Afghanistan,1970,28-364 days,Both,"69,626","14,242.60"
AFG,Afghanistan,1970,1-4 years,Male,"36,694","4,288.20"
AFG,Afghanistan,1970,1-4 years,Female,"32,848","4,022.90"
AFG,Afghanistan,1970,1-4 years,Both,"69,542","4,158.60"
AFG,Afghanistan,1970,5-9 years,Male,"3,467",396.2
AFG,Afghanistan,1970,5-9 years,Female,"2,492",306
AFG,Afghanistan,1970,5-9 years,Both,"5,959",352.7
AFG,Afghanistan,1970,10-14 years,Male,"1,723",230.8
AFG,Afghanistan,1970,10-14 years,Female,"1,806",262.3
AFG,Afghanistan,1970,10-14 years,Both,"3,529",245.9
AFG,Afghanistan,1970,15-19 years,Male,"1,816",282.9
AFG,Afghanistan,1970,15-19 years,Female,"1,902",324.7
AFG,Afghanistan,1970,15-19 years,Both,"3,718",302.8
AFG,Afghanistan,1970,20-24 years,Male,"2,240",392.9
AFG,Afghanistan,1970,20-24 years,Female,"2,630",508.4
AFG,Afghanistan,1970,20-24 years,Both,"4,870",447.9
AFG,Afghanistan,1970,25-29 years,Male,"2,050",432.4
AFG,Afghanistan,1970,25-29 years,Female,"2,889",673.7
AFG,Afghanistan,1970,25-29 years,Both,"4,939",547
AFG,Afghanistan,1970,30-34 years,Male,"2,038",510.1
AFG,Afghanistan,1970,30-34 years,Female,"2,799",779
AFG,Afghanistan,1970,30-34 years,Both,"4,838",637.4
AFG,Afghanistan,1970,35-39 years,Male,"2,242",670
AFG,Afghanistan,1970,35-39 years,Female,"3,358","1,117.10"
AFG,Afghanistan,1970,35-39 years,Both,"5,600",881.6
AFG,Afghanistan,1970,40-44 years,Male,"2,528",918.4
AFG,Afghanistan,1970,40-44 years,Female,"2,908","1,163.30"
AFG,Afghanistan,1970,40-44 years,Both,"5,437","1,035.00"
AFG,Afghanistan,1970,45-49 years,Male,"2,993","1,343.30"
AFG,Afghanistan,1970,45-49 years,Female,"2,909","1,405.40"
AFG,Afghanistan,1970,45-49 years,Both,"5,902","1,373.20"
AFG,Afghanistan,1970,50-54 years,Male,"3,569","2,016.00"
AFG,Afghanistan,1970,50-54 years,Female,"3,300","1,950.90"
AFG,Afghanistan,1970,50-54 years,Both,"6,870","1,984.20"
AFG,Afghanistan,1970,55-59 years,Male,"3,911","2,862.90"
AFG,Afghanistan,1970,55-59 years,Female,"3,532","2,624.80"
AFG,Afghanistan,1970,55-59 years,Both,"7,443","2,744.70"
AFG,Afghanistan,1970,60-64 years,Male,"4,239","4,229.20"
AFG,Afghanistan,1970,60-64 years,Female,"4,514","4,449.70"
AFG,Afghanistan,1970,60-64 years,Both,"8,752","4,340.10"
AFG,Afghanistan,1970,65-69 years,Male,"3,968","5,870.40"
AFG,Afghanistan,1970,65-69 years,Female,"4,580","6,528.50"
AFG,Afghanistan,1970,65-69 years,Both,"8,547","6,205.60"
AFG,Afghanistan,1970,70-74 years,Male,"3,435","8,509.70"
AFG,Afghanistan,1970,70-74 years,Female,"4,404","10,276.80"
AFG,Afghanistan,1970,70-74 years,Both,"7,839","9,419.70"
AFG,Afghanistan,1970,75-79 years,Male,"2,374","12,048.40"
AFG,Afghanistan,1970,75-79 years,Female,"3,129","14,608.50"
AFG,Afghanistan,1970,75-79 years,Both,"5,503","13,381.80"
AFG,Afghanistan,1970,80+ years,Male,"1,676","18,534.80"
AFG,Afghanistan,1970,80+ years,Female,"2,180","21,197.10"
AFG,Afghanistan,1970,80+ years,Both,"3,856","19,951.40"
AFG,Afghanistan,1970,All ages,Male,"153,656","2,470.80"
AFG,Afghanistan,1970,All ages,Female,"138,181","2,390.80"
AFG,Afghanistan,1970,All ages,Both,"291,837","2,432.30"
AFG,Afghanistan,1980,0-6 days,Male,"16,152","235,901.00"
AFG,Afghanistan,1980,0-6 days,Female,"10,838","167,053.30"
AFG,Afghanistan,1980,0-6 days,Both,"26,991","202,403.90"
AFG,Afghanistan,1980,7-27 days,Male,"12,551","63,362.90"
AFG,Afghanistan,1980,7-27 days,Female,"9,217","48,823.20"
AFG,Afghanistan,1980,7-27 days,Both,"21,768","56,266.30"
AFG,Afghanistan,1980,28-364 days,Male,"32,316","10,792.30"
AFG,Afghanistan,1980,28-364 days,Female,"27,191","9,507.60"
AFG,Afghanistan,1980,28-364 days,Both,"59,506","10,164.70"
AFG,Afghanistan,1980,1-4 years,Male,"30,885","2,713.30"
AFG,Afghanistan,1980,1-4 years,Female,"27,506","2,540.70"
AFG,Afghanistan,1980,1-4 years,Both,"58,391","2,629.20"
AFG,Afghanistan,1980,5-9 years,Male,"3,263",304
AFG,Afghanistan,1980,5-9 years,Female,"2,363",236.4
AFG,Afghanistan,1980,5-9 years,Both,"5,626",271.4
AFG,Afghanistan,1980,10-14 years,Male,"2,912",321
AFG,Afghanistan,1980,10-14 years,Female,"2,473",294.5
AFG,Afghanistan,1980,10-14 years,Both,"5,386",308.3
AFG,Afghanistan,1980,15-19 years,Male,"3,396",443.5
